Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,Year
IK Pathan,10.0,10.0,23.4,0.0,205.0,4.0,2/10,51.25,8.66,35.5,0.0,0.0,2.0,0.0,2014
YK Pathan,15.0,1.0,1.0,0.0,10.0,0.0,0,0,10.0,0,0.0,0.0,5.0,0.0,2014
KP Pietersen,11.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2014
KA Pollard,15.0,12.0,25.0,0.0,262.0,2.0,1/33,131.0,10.48,75.0,0.0,0.0,7.0,0.0,2014
CA Pujara,6.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
AM Rahane,13.0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,2014
KL Rahul,11.0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,2014
SK Raina,16.0,8.0,18.0,0.0,134.0,1.0,1/17,134.0,7.44,108.0,0.0,0.0,12.0,0.0,2014
R Rampaul,2.0,2.0,6.0,0.0,37.0,1.0,1/21,37.0,6.16,36.0,0.0,0.0,0.0,0.0,2014
S Rana,9.0,2.0,2.0,0.0,16.0,0.0,0,0,8.0,0,0.0,0.0,3.0,0.0,2014
AT Rayudu,15.0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,2014
KW Richardson,7.0,7.0,27.0,0.0,206.0,9.0,2/18,22.88,7.62,18.0,0.0,0.0,3.0,0.0,2014
RR Rossouw,3.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
AD Russell,2.0,2.0,5.0,0.0,52.0,1.0,1/25,52.0,10.4,30.0,0.0,0.0,0.0,0.0,2014
WP Saha,17.0,0,0,0,0,0,0,0,0,0,0,0,8.0,4.0,2014
DJG Sammy,10.0,8.0,14.0,0.0,157.0,3.0,1/20,52.33,11.21,28.0,0.0,0.0,5.0,0.0,2014
SV Samson,13.0,0,0,0,0,0,0,0,0,0,0,0,5.0,2.0,2014
Sandeep Sharma,11.0,11.0,40.1,2.0,354.0,18.0,3/15,19.66,8.81,13.3,0.0,0.0,1.0,0.0,2014
K Santokie,2.0,2.0,8.0,0.0,90.0,3.0,2/50,30.0,11.25,16.0,0.0,0.0,1.0,0.0,2014
V Sehwag,17.0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,2014
V Shankar,1.0,1.0,1.0,0.0,19.0,0.0,0,0,19.0,0,0.0,0.0,0.0,0.0,2014
Shakib Al Hasan,13.0,13.0,50.0,1.0,334.0,11.0,2/22,30.36,6.68,27.2,0.0,0.0,3.0,0.0,2014
I Sharma,3.0,3.0,11.0,0.0,101.0,3.0,2/37,33.66,9.18,22.0,0.0,0.0,0.0,0.0,2014
KV Sharma,14.0,14.0,50.4,0.0,376.0,15.0,4/38,25.06,7.42,20.2,1.0,0.0,0.0,0.0,2014
MM Sharma,16.0,16.0,53.5,0.0,452.0,23.0,4/14,19.65,8.39,14.0,1.0,0.0,3.0,0.0,2014
R Sharma,2.0,2.0,6.0,0.0,65.0,1.0,1/33,65.0,10.83,36.0,0.0,0.0,0.0,0.0,2014
RG Sharma,15.0,2.0,3.0,0.0,26.0,1.0,1/20,26.0,8.66,18.0,0.0,0.0,5.0,0.0,2014
Shivam Sharma,4.0,4.0,16.0,0.0,121.0,3.0,2/26,40.33,7.56,32.0,0.0,0.0,1.0,0.0,2014
LR Shukla,5.0,5.0,9.2,0.0,83.0,1.0,1/31,83.0,8.89,56.0,0.0,0.0,1.0,0.0,2014
R Shukla,3.0,3.0,9.0,0.0,98.0,2.0,1/13,49.0,10.88,27.0,0.0,0.0,1.0,0.0,2014
LMP Simmons,8.0,1.0,3.0,0.0,34.0,1.0,1/34,34.0,11.33,18.0,0.0,0.0,2.0,0.0,2014
DR Smith,16.0,5.0,10.0,0.0,95.0,4.0,1/11,23.75,9.5,15.0,0.0,0.0,5.0,0.0,2014
SPD Smith,10.0,0,0,0,0,0,0,0,0,0,0,0,9.0,0.0,2014
TG Southee,3.0,3.0,10.0,0.0,76.0,0.0,0,0,7.6,0,0.0,0.0,2.0,0.0,2014
MA Starc,14.0,14.0,53.4,0.0,402.0,14.0,2/21,28.71,7.49,23.0,0.0,0.0,9.0,0.0,2014
DW Steyn,14.0,14.0,56.0,0.0,431.0,11.0,2/20,39.18,7.69,30.5,0.0,0.0,7.0,0.0,2014
P Suyal,1.0,1.0,3.0,0.0,35.0,1.0,1/35,35.0,11.66,18.0,0.0,0.0,0.0,0.0,2014
YV Takawale,5.0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,2014
PV Tambe,13.0,13.0,49.0,0.0,356.0,15.0,4/20,23.73,7.26,19.6,1.0,0.0,2.0,0.0,2014
AP Tare,15.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,2014
LRPL Taylor,4.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2014
RN ten Doeschate,10.0,4.0,5.0,0.0,35.0,1.0,1/7,35.0,7.0,30.0,0.0,0.0,3.0,0.0,2014
R Tewatia,3.0,3.0,9.0,0.0,59.0,2.0,1/17,29.5,6.55,27.0,0.0,0.0,0.0,0.0,2014
MK Tiwary,8.0,1.0,2.0,0.0,28.0,0.0,0,0,14.0,0,0.0,0.0,1.0,0.0,2014
JD Unadkat,9.0,9.0,31.1,0.0,270.0,9.0,3/32,30.0,8.66,20.7,0.0,0.0,0.0,0.0,2014
RV Uthappa,16.0,0,0,0,0,0,0,0,0,0,0,0,1.0,7.0,2014
Y Venugopal Rao,7.0,2.0,2.0,0.0,16.0,0.0,0,0,8.0,0,0.0,0.0,2.0,0.0,2014
M Vijay,11.0,1.0,1.0,0.0,13.0,0.0,0,0,13.0,0,0.0,0.0,8.0,0.0,2014
R Vinay Kumar,9.0,9.0,32.0,0.0,281.0,7.0,2/26,40.14,8.78,27.4,0.0,0.0,1.0,0.0,2014
M Vohra,8.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2014
DA Warner,14.0,0,0,0,0,0,0,0,0,0,0,0,8.0,0.0,2014
SR Watson,13.0,9.0,21.0,1.0,165.0,7.0,3/13,23.57,7.85,18.0,0.0,0.0,3.0,0.0,2014
SA Yadav,16.0,1.0,1.0,0.0,8.0,0.0,0,0,8.0,0,0.0,0.0,7.0,0.0,2014
UT Yadav,12.0,12.0,45.0,0.0,367.0,11.0,3/13,33.36,8.15,24.5,0.0,0.0,2.0,0.0,2014
DH Yagnik,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2014
Yuvraj Singh,14.0,10.0,22.4,0.0,187.0,5.0,4/35,37.4,8.25,27.2,1.0,0.0,4.0,0.0,2014
VH Zol,3.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
